Epsilon	Average Absolute Error over 500 Samples - Count	Average Relative Error over 500 Samples - Count	Average Absolute Error over 500 Samples - Sum	Average Relative Error over 500 Samples - Sum	Average Absolute Error over 500 Samples - Mean	Average Relative Error over 500 Samples - Mean	Average Absolute Error over 500 Samples - Var	Average Relative Error over 500 Samples - Var
0.2	649.0	100.0	2375.0	100.0	3.6594761171032357	100.0	21.50345796899817	100.0
0.36	649.0	100.0	2375.0	100.0	3.6594761171032357	100.0	21.50345796899817	100.0
0.4	649.0	100.0	2375.0	100.0	3.6594761171032357	100.0	706.289152132549	3284.537552754611
0.6	648.987307035608	99.9980442273664	2568.4754887817426	108.1463363697576	3.6594761171032357	100.0	23.77380360469426	110.55804903085482
0.73	648.7788245933118	99.96592058448564	2566.4908701394543	108.06277347955599	3.6594761171032357	100.0	2192.401115374794	10195.574677038489
0.8	648.8504558122456	99.97695775227206	2642.758279190013	111.27403280800054	3.653392521816698	99.83375775406472	55680.88860094152	258939.23052384137
1.0	646.3640425755565	99.59384323198097	4114.41798629989	173.2386520547322	3.662115246738285	100.07211768981671	86391.91949729633	401758.26428404544
1.2	629.7077969894553	97.02739552996229	13674.882115070086	575.7845101082141	3.658142215922333	99.9635493950987	304880.58459707594	1417821.19432431
1.4	625.9615152148475	96.4501564275574	13801.675950164641	581.1231979016691	3.7281651571753045	101.87701840028517	213048.8181269603	990765.3849632727
1.64	625.1347875214171	96.32277157494872	13269.137538160709	558.7005279225561	3.5889792342985674	98.07357991830611	181565.92616179743	844356.8770360725
1.8	624.986291489322	96.29989083040401	11782.93492609525	496.12357583558946	3.3149293049744304	90.5848050075118	124410.11574486707	578558.6482147701
2.0	625.0037876575581	96.30258669607983	10802.381981319715	454.8371360555668	3.2616688829609406	89.12939389649055	104320.35487586317	485132.92618453846
3.0	624.8108765514393	96.27286233458231	7753.153116266453	326.4485522638506	2.839414140196951	77.59072745211878	22140.718130645353	102963.52411117285
4.0	624.9955871728274	96.30132313911054	5786.171814033166	243.62828690665955	2.7685682284345328	75.65476969490575	2082.8462499859284	9686.099105496409
5.0	624.9883984861215	96.30021548322364	4875.981267468073	205.30447441970836	2.7339579120046484	74.70899725856913	1563.577579399066	7271.284375067941
6.0	624.9756802300739	96.29825581357069	4090.6443825830484	172.23765821402307	2.682546363806203	73.30410905727265	1145.8047502146658	5328.4674114581385
7.0	625.0034935443509	96.30254137817425	3985.9494585491343	167.82945088627935	2.726645673894122	74.50918073083307	1106.3477462639755	5144.97597483629
8.0	624.9934243936727	96.30098989116684	3595.099692633127	151.3726186371843	2.6574212934182455	72.61753344961859	906.751273495089	4216.769576327513
9.0	625.0487695053719	96.30951764335468	3323.6357077413163	139.94255611542386	2.6707629036508105	72.98211050397373	804.3130065031633	3740.3891395642145
10.0	625.0193943804807	96.30499142996621	3101.4597995738673	130.58778103468913	2.6735834062626296	73.05918444902933	700.3410619549384	3256.8764659369185
