,mi,absolute error count_order,relative error count_order
0,0.0012483186311311,2.391133941134285,0.06350953362906468
1,0.0012483186311311,0.40495765198602385,0.010755847330306078
2,0.0012483186311311,44.05832951903858,1.1702079553529503
3,0.0012483186311311,26.30584192086735,0.6986943405276853
4,0.0012483186311311,6.070319926765933,0.16123027693933423
5,0.0012483186311311,8.800325708356922,0.2337403906602104
6,0.0012483186311311,0.11551367156289416,0.003068092206185768
7,0.0012483186311311,2.383480772022267,0.06330626220510668
8,0.0012483186311311,5.976230524476705,0.15873122242966015
9,0.0012483186311311,12.105688142929921,0.3215322215917642
10,0.0012483186311311,5.769288456353024,0.15323475315678683
11,0.0012483186311311,6.435925627719826,0.1709409197269542
12,0.0012483186311311,8.311666946823152,0.22076140629012356
13,0.0012483186311311,28.647599986533805,0.7608924299212166
14,0.0012483186311311,3.903418305917512,0.10367644902835357
15,0.0012483186311311,27.392655266871316,0.7275605648571399
16,0.0012483186311311,1.007651975986846,0.026763664700845846
17,0.0012483186311311,13.143195175252004,0.34908884927628164
18,0.0012483186311311,4.520404799287007,0.12006387249102277
19,0.0012483186311311,14.882406695333884,0.3952830463568097
20,0.0012483186311311,4.1178872636910455,0.1093728356890052
21,0.0012483186311311,4.411862215137717,0.11718093532902302
22,0.0012483186311311,4.373116450755788,0.1161518313613755
23,0.0012483186311311,0.5079810188258307,0.013492191735081826
24,0.0012483186311311,13.96800695655611,0.37099620070534156
25,0.0012483186311311,65.51282147729398,1.7400483792109955
26,0.0012483186311311,8.163990165987798,0.21683904823340763
27,0.0012483186311311,6.743424379181761,0.17910821724254344
28,0.0012483186311311,30.900878686717533,0.820740469766734
29,0.0012483186311311,1.1919592977537832,0.031658945491468346
30,0.0012483186311311,0.07541209924875147,0.0020029774036852983
31,0.0012483186311311,1.5492655236375867,0.04114915069422541
32,0.0012483186311311,44.51573269869823,1.182356778185876
33,0.0012483186311311,4.18858882504901,0.11125069920448896
34,0.0012483186311311,6.734382628519143,0.17886806450250048
35,0.0012483186311311,9.541821731144864,0.2534348401366498
36,0.0012483186311311,16.889313056324227,0.4485873321732862
37,0.0012483186311311,0.004981892282557965,0.00013232117616355816
38,0.0012483186311311,3.110093549449175,0.08260540635987185
39,0.0012483186311311,19.993118478217184,0.5310257231930195
40,0.0012483186311311,0.0875158961721354,0.0023244593936822154
41,0.0012483186311311,6.946031058967037,0.18448953675875265
42,0.0012483186311311,17.994028305002303,0.4779290386454795
43,0.0012483186311311,9.398217069543989,0.2496206392973171
44,0.0012483186311311,32.93918660233294,0.8748787942186703
45,0.0012483186311311,3.95655005280787,0.10508765080498991
46,0.0012483186311311,6.321275350412179,0.16789575963910172
47,0.0012483186311311,16.62353416908809,0.4415281319810913
48,0.0012483186311311,1.4291471463197922,0.037958755546342426
49,0.0012483186311311,1.4794778747832424,0.03929556108322025
50,0.0012483186311311,5.506914763918303,0.1462659963856123
51,0.0012483186311311,2.9121919679969324,0.0773490562548986
52,0.0012483186311311,0.968746510409801,0.025730319001588342
53,0.0012483186311311,0.15091736089698315,0.004008429240291717
54,0.0012483186311311,3.852644335880086,0.102327870806908
55,0.0012483186311311,3.5463897196345897,0.09419361805138352
56,0.0012483186311311,18.3837158284382,0.48827930487219645
57,0.0012483186311311,37.49401032100968,0.9958568478355825
58,0.0012483186311311,18.150575793727057,0.4820870064734942
59,0.0012483186311311,11.109784662266975,0.2950806019194416
60,0.0012483186311311,6.646514180973099,0.17653424119450462
61,0.0012483186311311,5.510912609881416,0.1463721808733444
62,0.0012483186311311,4.6777517022928805,0.12424307310206854
63,0.0012483186311311,3.0288001211183655,0.0804462183563975
64,0.0012483186311311,2.0303117657254006,0.05392594331275964
65,0.0012483186311311,36.532051159052116,0.9703068036932833
66,0.0012483186311311,16.900283506454343,0.4488787119908192
67,0.0012483186311311,0.5822578795937261,0.01546501672227692
68,0.0012483186311311,2.107512376242994,0.055976424335803285
69,0.0012483186311311,0.42567766055481115,0.011306179563208795
70,0.0012483186311311,17.243570708040806,0.457996565950619
71,0.0012483186311311,34.59242417278574,0.9187894866609758
72,0.0012483186311311,10.913172749845216,0.2898585059719845
73,0.0012483186311311,5.62199126466794,0.14932247714921487
74,0.0012483186311311,18.56800733352111,0.4931741655649697
75,0.0012483186311311,1.1371948221094499,0.030204377745270915
76,0.0012483186311311,4.18976988124723,0.11128206855902337
77,0.0012483186311311,7.817869569533741,0.2076459381018258
78,0.0012483186311311,18.966536997691946,0.503759282807223
79,0.0012483186311311,1.4766402564641794,0.03922019273477236
80,0.0012483186311311,1.3186982526140127,0.035025185992404055
81,0.0012483186311311,17.569496598619025,0.46665329611205913
82,0.0012483186311311,2.8045716630231254,0.07449061521973772
83,0.0012483186311311,6.218044291602382,0.16515389884734083
84,0.0012483186311311,3.8492005288935616,0.10223640182984227
85,0.0012483186311311,5.278793163432965,0.14020698973261528
86,0.0012483186311311,2.2964772026821265,0.06099541042980416
87,0.0012483186311311,4.016036290833654,0.1066676305666309
88,0.0012483186311311,5.1112602503430935,0.1357572443650224
89,0.0012483186311311,2.352832385256079,0.0624922280280499
90,0.0012483186311311,0.14051242754703708,0.003732069788765925
91,0.0012483186311311,9.947990626956653,0.26422285861770656
92,0.0012483186311311,1.6107074626038411,0.04278107470395328
93,0.0012483186311311,10.201782995207395,0.27096369177177676
94,0.0012483186311311,7.613565656503397,0.2022195393493598
95,0.0012483186311311,15.801882601580928,0.4197047171734642
96,0.0012483186311311,38.22706323980901,1.0153270448820455
97,0.0012483186311311,8.152603089776221,0.21653660265009883
