Query	Step1	Step2	Step3	Total
1	36.3643741607666	0.4636179606119792	0.019109646479288738	36.847101767857865
3	66.46660836537679	42.583627223968506	39.49224019050598	148.54247577985126
4	24.250879764556885	0.09042199452718098	0.004155476888020833	24.345457235972084
5	19.320149103800457	0.06970683733622234	0.004209756851196289	19.394065697987877
6	19.112096945444744	0.015685160954793293	0.0020503997802734375	19.12983250617981
7	18.08806077639262	0.056156317392985024	0.004519462585449219	18.148736556371055
8	21.195764382680256	0.029088497161865234	0.002596139907836914	21.227449019749958
9	33.52784021695455	2.4021307627360025	0.10267098744710286	36.03264196713766
12	18.979589144388836	0.05679472287495931	0.00348663330078125	19.039870500564575
13	25.97891314824422	0.7332095305124918	0.02301812171936035	26.735140800476074
14	24.27307399113973	0.015332539876302084	0.0020668506622314453	24.29047338167826
15	26.040928920110066	0.08109800020853679	0.003877401351928711	26.125904321670532
17	24.032653093338013	0.015331586201985678	0.002079168955485026	24.050063848495483
19	22.588457663853962	0.015154282251993815	0.002052148183186849	22.605664094289143
20	22.10122513771057	36.00552845001221	1.074870189030965	59.181623776753746
21	40.98518308003744	48.14296269416809	1.5518490473429363	90.67999482154848
22	18.370110750198364	0.22227843602498373	0.007597764333089192	18.599986950556435
