Query	Step1	Step2	Step3	Total
1	4.435959021250407	0.04480099678039551	0.01708984375	4.497849861780803
4	3.257772207260132	0.006876786549886067	0.0037736892700195312	3.2684226830800376
5	2.8629164695739746	0.0072936216990153	0.0037124156951904297	2.87392250696818
6	3.0755974451700845	0.003126382827758789	0.002149820327758789	3.080873648325602
7	3.675917704900106	0.006743272145589192	0.004485766092936198	3.6871467431386313
8	3.397951046625773	0.003554821014404297	0.002433617909749349	3.4039394855499268
9	7.0521596272786455	0.21160380045572916	0.0974286397298177	7.361192067464192
12	3.046173095703125	0.0061101118723551435	0.0031447410583496094	3.0554279486338296
13	5.108007907867432	0.04945508639017741	0.019887208938598633	5.177350203196208
14	3.3532513777414956	0.0024917920430501304	0.0020120938618977866	3.357755263646444
15	3.9962921937306723	0.010452747344970703	0.0035753250122070312	4.0103202660878505
17	3.724062363306681	0.0025614102681477866	0.0019334952036539714	3.728557268778483
19	3.937689463297526	0.0022734800974527993	0.0018725395202636719	3.941835482915242
20	3.6916529337565103	0.41240835189819336	0.10714483261108398	4.211206118265787
21	6.267103354136149	1.5788347721099854	0.29747668902079266	8.143414815266928
22	3.5374508698781333	0.017944176991780598	0.007910648981730143	3.563305695851644
