Query	Penalty
1	60.27210495
2	0
4	48.48075742
5	30.1988302
6	60.7602277
7	34.18861383
8	40.07758016
9	46.28627911
11	0
12	41.96801054
13	60.29152842
14	52.74936077
15	54.24218747
16	0
17	47.77510438
19	41.00093079
20	45.6666365
21	57.99367925
22	61.34543091
