Query	Step1	Step2	Step3	Total
1	414.57912643750507	0.08978017171223958	0.021270275115966797	414.69017688433325
4	202.17747155825296	0.014048894246419271	0.007816155751546225	202.19933660825095
5	179.6109837690989	0.009178241093953451	0.006447235743204753	179.62660924593607
6	195.06094614664713	0.004309018452962239	0.007033586502075195	195.07228875160217
7	207.89496199289957	0.00917514165242513	0.00871713956197103	207.91285427411398
8	213.34597524007162	0.005856831868489583	0.0053102970123291016	213.35714236895245
9	334.0808657010396	0.24392048517862955	0.12549233436584473	334.4502785205841
12	190.95341308911642	0.008531570434570312	0.0066407521565755205	190.96858541170758
13	238.37261613210043	0.0678261121114095	0.028191566467285156	238.46863381067914
14	225.5295583407084	0.0040620168050130205	0.00426793098449707	225.53788828849792
15	309.7886899312337	0.015667120615641277	0.006954749425252278	309.8113118012746
17	160.07040691375732	0.0034405390421549478	0.0032976468404134116	160.0771450996399
19	245.05467303593954	0.004825750986735026	0.0036565462748209634	245.06315533320108
20	223.01715048154196	72.3157091140747	11.08501680692037	306.41787640253705
21	322.4251586596171	177.10891127586365	28.193616946538288	527.727686882019
22	180.39898578325906	0.021767695744832356	0.011245012283325195	180.43199849128723
